epoch,train_error,val_error
0,0.457579,0.432296
1,0.452275,0.427093
2,0.446623,0.421527
3,0.440607,0.415571
4,0.434163,0.409337
5,0.427401,0.402956
6,0.420415,0.396512
7,0.413304,0.389843
8,0.406033,0.382707
9,0.398517,0.375499
10,0.390850,0.368140
11,0.383004,0.360663
12,0.375126,0.353171
13,0.367271,0.345803
14,0.359493,0.338544
15,0.351771,0.331435
16,0.344170,0.324506
17,0.336734,0.317730
18,0.329474,0.311113
19,0.322387,0.304652
20,0.315452,0.298353
21,0.308685,0.292225
22,0.302098,0.286247
23,0.295688,0.280374
24,0.289449,0.274643
25,0.283376,0.269056
26,0.277442,0.263615
27,0.271661,0.258277
28,0.266034,0.253041
29,0.260532,0.247945
30,0.255176,0.242984
31,0.249962,0.238156
32,0.244885,0.233456
33,0.239942,0.228875
34,0.235130,0.224403
35,0.230430,0.220050
36,0.225854,0.215811
37,0.221398,0.211684
38,0.217058,0.207666
39,0.212832,0.203754
40,0.208717,0.199945
41,0.204710,0.196236
42,0.200808,0.192625
43,0.197008,0.189108
44,0.193307,0.185684
45,0.189703,0.182349
46,0.186192,0.179101
47,0.182774,0.175939
48,0.179444,0.172859
49,0.176201,0.169859
50,0.173043,0.166938
51,0.169967,0.164093
52,0.166971,0.161322
53,0.164052,0.158623
54,0.161209,0.155995
55,0.158440,0.153435
56,0.155743,0.150942
57,0.153116,0.148513
58,0.150557,0.146147
59,0.148064,0.143843
60,0.145635,0.141599
61,0.143269,0.139413
62,0.140965,0.137283
63,0.138720,0.135209
64,0.136533,0.133188
65,0.134402,0.131220
66,0.132327,0.129303
67,0.130304,0.127435
68,0.128334,0.125615
69,0.126415,0.123843
70,0.124545,0.122116
71,0.122723,0.120434
72,0.120948,0.118795
73,0.119218,0.117199
74,0.117533,0.115643
75,0.115892,0.114128
76,0.114292,0.112651
77,0.112734,0.111213
78,0.111215,0.109812
79,0.109735,0.108447
80,0.108293,0.107116
81,0.106888,0.105820
82,0.105519,0.104558
83,0.104185,0.103327
84,0.102885,0.102129
85,0.101619,0.100961
86,0.100384,0.099823
87,0.099182,0.098714
88,0.098009,0.097633
89,0.096867,0.096581
90,0.095754,0.095555
91,0.094669,0.094555
92,0.093611,0.093581
93,0.092581,0.092632
94,0.091577,0.091707
95,0.090598,0.090805
96,0.089644,0.089927
97,0.088714,0.089071
98,0.087808,0.088237
99,0.086925,0.087424
100,0.086064,0.086631
101,0.085225,0.085859
102,0.084407,0.085107
103,0.083610,0.084373
104,0.082832,0.083658
105,0.082075,0.082962
106,0.081336,0.082283
107,0.080616,0.081621
108,0.079915,0.080976
109,0.079231,0.080347
110,0.078564,0.079734
111,0.077913,0.079136
112,0.077280,0.078554
113,0.076662,0.077986
114,0.076059,0.077433
115,0.075472,0.076894
116,0.074899,0.076368
117,0.074340,0.075855
118,0.073796,0.075356
119,0.073265,0.074868
120,0.072747,0.074393
121,0.072242,0.073930
122,0.071750,0.073479
123,0.071270,0.073039
124,0.070802,0.072610
125,0.070346,0.072191
126,0.069900,0.071783
127,0.069466,0.071385
128,0.069043,0.070997
129,0.068630,0.070619
130,0.068227,0.070250
131,0.067834,0.069890
132,0.067451,0.069540
133,0.067077,0.069197
134,0.066713,0.068864
135,0.066357,0.068538
136,0.066010,0.068221
137,0.065672,0.067912
138,0.065342,0.067610
139,0.065020,0.067315
140,0.064705,0.067028
141,0.064399,0.066748
142,0.064100,0.066474
143,0.063808,0.066208
144,0.063523,0.065948
145,0.063245,0.065694
146,0.062974,0.065446
147,0.062709,0.065205
148,0.062451,0.064969
149,0.062199,0.064739
150,0.061953,0.064515
151,0.061713,0.064296
152,0.061479,0.064083
153,0.061251,0.063874
154,0.061027,0.063671
155,0.060810,0.063472
156,0.060597,0.063279
157,0.060390,0.063090
158,0.060187,0.062905
159,0.059989,0.062725
160,0.059796,0.062549
161,0.059607,0.062377
162,0.059423,0.062210
163,0.059244,0.062046
164,0.059068,0.061887
165,0.058897,0.061731
166,0.058729,0.061579
167,0.058566,0.061430
168,0.058406,0.061285
169,0.058250,0.061143
170,0.058098,0.061005
171,0.057949,0.060870
172,0.057804,0.060738
173,0.057662,0.060609
174,0.057523,0.060483
175,0.057388,0.060360
176,0.057256,0.060240
177,0.057126,0.060122
178,0.057000,0.060008
179,0.056876,0.059896
180,0.056756,0.059786
181,0.056638,0.059679
182,0.056523,0.059575
183,0.056410,0.059473
184,0.056300,0.059373
185,0.056192,0.059276
186,0.056087,0.059180
187,0.055984,0.059087
188,0.055884,0.058996
189,0.055786,0.058907
190,0.055689,0.058820
191,0.055595,0.058735
192,0.055504,0.058652
193,0.055414,0.058571
194,0.055326,0.058491
195,0.055240,0.058413
196,0.055156,0.058337
197,0.055074,0.058263
198,0.054993,0.058190
199,0.054914,0.058119
200,0.054837,0.058049
201,0.054760,0.057981
202,0.054686,0.057914
203,0.054613,0.057848
204,0.054541,0.057784
205,0.054472,0.057721
206,0.054403,0.057660
207,0.054336,0.057600
208,0.054271,0.057541
209,0.054206,0.057483
210,0.054143,0.057427
211,0.054082,0.057372
212,0.054022,0.057318
213,0.053962,0.057265
214,0.053905,0.057213
215,0.053848,0.057162
216,0.053792,0.057112
217,0.053738,0.057064
218,0.053685,0.057016
219,0.053632,0.056969
220,0.053581,0.056923
221,0.053531,0.056878
222,0.053482,0.056834
223,0.053434,0.056791
224,0.053387,0.056749
225,0.053340,0.056708
226,0.053295,0.056667
227,0.053250,0.056627
228,0.053207,0.056588
229,0.053164,0.056550
230,0.053122,0.056512
231,0.053081,0.056476
232,0.053040,0.056439
233,0.053001,0.056404
234,0.052962,0.056369
235,0.052924,0.056335
236,0.052886,0.056302
237,0.052850,0.056269
238,0.052814,0.056237
239,0.052778,0.056205
240,0.052744,0.056174
241,0.052709,0.056144
242,0.052676,0.056114
243,0.052643,0.056084
244,0.052611,0.056056
245,0.052579,0.056027
246,0.052548,0.055999
247,0.052518,0.055972
248,0.052488,0.055945
249,0.052458,0.055919
250,0.052429,0.055893
251,0.052401,0.055868
252,0.052373,0.055843
253,0.052346,0.055818
254,0.052319,0.055794
255,0.052292,0.055770
256,0.052266,0.055747
257,0.052241,0.055724
258,0.052216,0.055701
259,0.052191,0.055679
260,0.052167,0.055657
261,0.052143,0.055636
262,0.052119,0.055615
263,0.052096,0.055594
264,0.052073,0.055574
265,0.052051,0.055553
266,0.052029,0.055534
267,0.052008,0.055514
268,0.051986,0.055495
269,0.051965,0.055476
270,0.051945,0.055458
271,0.051925,0.055439
272,0.051905,0.055421
273,0.051885,0.055404
274,0.051866,0.055386
275,0.051847,0.055369
276,0.051828,0.055352
277,0.051810,0.055335
278,0.051792,0.055319
279,0.051774,0.055303
280,0.051756,0.055287
281,0.051739,0.055271
282,0.051722,0.055256
283,0.051705,0.055240
284,0.051689,0.055225
285,0.051672,0.055210
286,0.051656,0.055196
287,0.051640,0.055181
288,0.051625,0.055167
289,0.051609,0.055153
290,0.051594,0.055139
291,0.051579,0.055126
292,0.051565,0.055112
293,0.051550,0.055099
294,0.051536,0.055086
295,0.051522,0.055073
296,0.051508,0.055060
297,0.051494,0.055047
298,0.051481,0.055035
299,0.051468,0.055023
300,0.051455,0.055011
301,0.051442,0.054999
302,0.051429,0.054987
303,0.051416,0.054975
304,0.051404,0.054964
305,0.051392,0.054952
306,0.051380,0.054941
307,0.051368,0.054930
308,0.051356,0.054919
309,0.051344,0.054908
310,0.051333,0.054897
311,0.051322,0.054887
312,0.051311,0.054876
313,0.051300,0.054866
